oznam_title,contracting_authority_name,oznam_e_auction,estimatedprice,procedure_title,contract_type,contract_sub_type,nuts,gpa,result_e_auction,eu_funds,total_final_value_amount,total_final_value_vat_included,total_final_value_vat_rate,total_final_value_amount_minus_vat
Zabezpečenie stravovania pre zamestnancov organizácií rezortu MPSVR SR,"Ministerstvo práce, sociálnych vecí a rodiny Slovenskej republiky",,35283000,Otvorená,Služby,17 - Hotelové a reštauračné služby,SK0,true,false,true,35283000,false,,35283000
Nákup špeciálnych vozidiel,EKO - SALMO s.r.o.,,818300,Otvorená,Tovary,Kúpa,SK042,false,true,true,810000,false,,810000
"Technologické zariadenia na manipuláciu, spracovanie, opracovanie kovových a nerezových materiálov",AFINOX s.r.o.,,387450,Otvorená,Tovary,Kúpa,SK042,false,false,true,348003,false,,348003
Nákup zariadenia interiéru a koncertného klavírneho krídla,Obec Mojmírovce,,280167.5,Otvorená,Tovary,Kúpa,SK023,true,false,true,235577.5,false,,235577.5
Spracovanie Plánov prác na odstránenie environmentálnej záťaže a poskytnutie súvisiacich služieb,Slovenská agentúra životného prostredia,,2460000,Otvorená,Služby,"12 - Architektonické služby;inžinierske služby a kompexné inžinierske služby; mestské plánovanie a krajinná architektúra; súvisiace odborné a technické poradenské služby, technické testovanie a analýzy",SK0,true,false,true,2460000,false,,2460000
Pranie nemocničnej bielizne,Nemocnica Poprad a. s.,,210000,Otvorená,Služby,27,SK041,false,true,false,177500,false,,177500
Chirurgický šijací materiál,"Národný ústav srdcových a cievnych chorôb, a.s.",,2110960,Otvorená,Tovary,Kúpa,SK01,true,true,false,1947781.44,false,,1947781.44
Digitálny angiografický systém so stropným závesom C-ramena a s intregrovaným ultrasonografickým prístrojom na vykonávanie intervenčných rádiologických výkonov pre Fakultnú nemocnicu s poliklinikou F. D. Roosevelta Banská Bystrica,Fakultná nemocnica s poliklinikou F.D. Roosevelta Banská Bystrica,,1653509,Otvorená,Tovary,Nákup na splátky,SK032,true,true,false,1678800,true,20,1343040
Dodávka technologického vybavenia,KNAPECSTEEL s.r.o.,,178765,Otvorená,Tovary,Kúpa,SK031,false,true,true,177900,false,,177900
Ťažba dreva.,Technická univerzita vo Zvolene - Rektorát,,7191996,Otvorená,Služby,27 - Ostatné služby,SK032,false,false,false,60667,false,,60667
Ťažba dreva.,Technická univerzita vo Zvolene - Rektorát,,7191996,Otvorená,Služby,27 - Ostatné služby,SK032,false,false,false,4545250,false,,4545250
Liečivá pre zmyslové orgány,Fakultná nemocnica s poliklinikou J. A. Reimana v Prešove,,567027.21,Otvorená,Tovary,Kúpa,SK041,true,true,false,523869.0476,true,10,471482.14284
Mlieko a mliečne výrobky,Ministerstvo obrany Slovenskej republiky -  Akvizičná agentúra,,916597,Otvorená,Tovary,Kúpa,SK,true,true,false,11831.542,false,,11831.542
Mlieko a mliečne výrobky,Ministerstvo obrany Slovenskej republiky -  Akvizičná agentúra,,916597,Otvorená,Tovary,Kúpa,SK,true,true,false,98562,false,,98562
"Modernizácia a rozšírenie výrobných kapacít spoločnosti TOSIT, s.r.o.",TOSIT s.r.o.,,325000,Otvorená,Tovary,Kúpa,SK023,false,true,true,307500,false,,307500
Dodávka prístrojového a laboratórneho vybavenia pre potreby výskumu a vývoja UCM v Trnave,Univerzita sv. Cyrila a Metoda v Trnave,,12809019.33,Otvorená,Tovary,Kúpa,SK021,false,true,true,14999000,true,20,11999200
Dodávka a servis celotelových monitorov kontaminácie osôb,"Jadrová a vyraďovacia spoločnosť, a.s.",,2910000,Otvorená,Tovary,Kúpa,SK021,true,true,false,1725000,false,,1725000
Bezhotovostný nákup pohonných hmôt na platobné karty.,Žilinská univerzita v Žiline - Rektorát,,400000,Otvorená,Tovary,Kúpa,SK031,true,true,false,400000,false,,400000
Prezentačný materiál,Ministerstvo zahraničných vecí a európskych záležitostí Slovenskej republiky,,179352,Otvorená,Tovary,Kúpa,SK010,true,true,false,179352,false,,179352
"Žofia Urbariát pozemkové spoločenstvo,Urbariát pozemkové spoločenstvo Lúčky,,726789.9,Otvorená,Služby,27 - Ostatné služby,SK031,false,false,true,721798.75,false,,721798.75
Opatrenia na obnovu lesa v oblasti národného významu obce Terchová,MEERKS a.s.,,392052.8,Otvorená,Služby,27 - Ostatné služby,SK031,false,false,true,520525.4,false,,520525.4
Obnova lesných porastov Urbariátu Liptovská Kokava,Pozemkové spoločenstvo bývalých urbarialistov obce Liptovská Kokava,,698546.5,Otvorená,Služby,27,SK,false,false,true,835500.7,true,20,668400.56
"Obnova a ozdravné opatrenia v lesoch Ubrariát, pozemkové spoločenstvo Harichovce","Urbariát, pozemkové spoločenstvo Harichovce",,200873.95,Otvorená,Služby,27 - Ostatné služby,SK,false,false,true,239199.6,true,20,191359.68000000002
Obnova lesných porastov po kalamite Žofia,Pozemkové spoločenstvo Babky,,294854.16,Otvorená,Služby,27,SK031,false,false,true,263241.4,false,,263241.4
"Činnosť stavebnotechnického dozoru pre projekt D3 Čadca, Bukov - Svrčinovec","Národná diaľničná spoločnosť, a.s.",,4977967.87,Užšia súťaž,Služby,"12 - Architektonické služby;inžinierske služby a kompexné inžinierske služby; mestské plánovanie a krajinná architektúra; súvisiace odborné a technické poradenské služby, technické testovanie a analýzy",SK0,true,false,true,4767194,false,,4767194
Dodávka IKT infraštruktúry KIS VšZP,"Všeobecná zdravotná poisťovňa, a.s.",,7441471,Otvorená,Tovary,Kúpa,SK0,true,true,false,7396463,false,,7396463
Vybavenie pracoviska SFK Zvolen informačno-komunikačnými technológiami,Správa finančnej kontroly Zvolen,,232306,Otvorená,Tovary,Kúpa,SK032,false,true,true,282036,true,20,225628.80000000002
Dodávka elektrickej energie a zemného plynu.,Mesto Topoľčany,,1219000,Otvorená,Tovary,Kúpa,SK023,false,true,false,1219000,false,,1219000
"Dodávka informačno-komunikačných technológií pre UNM pozostávajúca z:
1. Upgrade serverovej časti
2. Aktívne prvky LAN siete
3. Počítače, LCD monitory a pracovné stanice
4. Systém riadenia elektronických poradovníkov v objektoch UNM s funkciou výkazníctva",Univerzitná nemocnica Martin,,498393.79,Otvorená,Tovary,Kúpa,SK031,false,true,true,419422.21,false,,419422.21
Ozdravné opatrenia v lesoch Urbárskeho a komposesorátneho pozemkového spoločenstva Osturňa,Urbárske a komposesorátne pozemkové spoločenstvo,,745000,Otvorená,Služby,27 - Ostatné služby,SK,false,false,true,892798.08,true,20,714238.464
Dodávka laboratórnych prístrojov a zariadení,Tau-chem s.r.o.,,155472.75,Otvorená,Tovary,Kúpa,SK010,true,true,true,176988,true,20,141590.4
Zabezpečenie služieb stravovania formou stravovacích poukážok,Úrad pre dohľad nad zdravotnou starostlivosťou,,1140000,Otvorená,Služby,17,SK0,true,true,false,1140000,true,0,1140000
